2025-07-31-14-31: epoch: 60 |tot 0.639523 | hm 0.256079 | wh 0.393690 | reg 0.124318 | ltrb_amodal 0.246988 | tracking 0.195059 | time 0.266667 | 
2025-07-31-14-31: epoch: 61 |tot 0.616851 | hm 0.249403 | wh 0.391102 | reg 0.122485 | ltrb_amodal 0.243126 | tracking 0.181540 | time 0.266667 | 
2025-07-31-14-32: epoch: 62 |tot 0.634758 | hm 0.250518 | wh 0.395918 | reg 0.124519 | ltrb_amodal 0.246200 | tracking 0.195509 | time 0.266667 | 
2025-07-31-14-32: epoch: 63 |tot 0.644749 | hm 0.252216 | wh 0.393072 | reg 0.125065 | ltrb_amodal 0.247222 | tracking 0.203439 | time 0.266667 | 
2025-07-31-14-32: epoch: 64 |tot 0.622778 | hm 0.251962 | wh 0.391204 | reg 0.122809 | ltrb_amodal 0.244305 | tracking 0.184455 | time 0.266667 | 
2025-07-31-14-33: epoch: 65 |tot 0.624146 | hm 0.247232 | wh 0.389649 | reg 0.124870 | ltrb_amodal 0.243333 | tracking 0.188746 | time 0.266667 | 
2025-07-31-14-33: epoch: 66 |tot 0.659862 | hm 0.257701 | wh 0.395226 | reg 0.128139 | ltrb_amodal 0.249081 | tracking 0.209592 | time 0.266667 | 
2025-07-31-14-33: epoch: 67 |tot 0.638943 | hm 0.251442 | wh 0.390885 | reg 0.123711 | ltrb_amodal 0.244001 | tracking 0.200302 | time 0.266667 | 
2025-07-31-14-33: epoch: 68 |tot 0.633154 | hm 0.249128 | wh 0.391797 | reg 0.122872 | ltrb_amodal 0.244685 | tracking 0.197506 | time 0.266667 | 
2025-07-31-14-34: epoch: 69 |tot 0.633979 | hm 0.244695 | wh 0.392560 | reg 0.124666 | ltrb_amodal 0.245245 | tracking 0.200837 | time 0.266667 | 
2025-07-31-14-34: epoch: 70 |tot 0.641946 | hm 0.248444 | wh 0.393036 | reg 0.124052 | ltrb_amodal 0.245731 | tracking 0.205573 | time 0.266667 | 
2025-07-31-14-34: epoch: 71 |tot 0.629565 | hm 0.247459 | wh 0.389887 | reg 0.123780 | ltrb_amodal 0.244069 | tracking 0.194930 | time 0.266667 | 
2025-07-31-14-35: epoch: 72 |tot 0.642759 | hm 0.250502 | wh 0.394572 | reg 0.125145 | ltrb_amodal 0.246192 | tracking 0.203036 | time 0.266667 | 
2025-07-31-14-35: epoch: 73 |tot 0.634975 | hm 0.250483 | wh 0.387604 | reg 0.124519 | ltrb_amodal 0.243952 | tracking 0.196816 | time 0.266667 | 
2025-07-31-14-35: epoch: 74 |tot 0.639147 | hm 0.248054 | wh 0.393700 | reg 0.125060 | ltrb_amodal 0.246125 | tracking 0.202049 | time 0.266667 | 
2025-07-31-14-36: epoch: 75 |tot 0.628498 | hm 0.245084 | wh 0.388802 | reg 0.123866 | ltrb_amodal 0.244353 | tracking 0.196233 | time 0.266667 | 
2025-07-31-14-36: epoch: 76 |tot 0.631199 | hm 0.247205 | wh 0.391821 | reg 0.124723 | ltrb_amodal 0.246063 | tracking 0.195482 | time 0.266667 | 
2025-07-31-14-36: epoch: 77 |tot 0.629008 | hm 0.249213 | wh 0.391271 | reg 0.123737 | ltrb_amodal 0.244962 | tracking 0.192435 | time 0.266667 | 
2025-07-31-14-36: epoch: 78 |tot 0.646890 | hm 0.254183 | wh 0.392742 | reg 0.127524 | ltrb_amodal 0.247740 | tracking 0.201135 | time 0.266667 | 
2025-07-31-14-37: epoch: 79 |tot 0.640128 | hm 0.249083 | wh 0.389481 | reg 0.124747 | ltrb_amodal 0.244827 | tracking 0.202868 | time 0.266667 | 
2025-07-31-14-37: epoch: 80 |tot 0.644988 | hm 0.249692 | wh 0.395062 | reg 0.124302 | ltrb_amodal 0.245558 | tracking 0.206932 | time 0.266667 | 
2025-07-31-14-37: epoch: 81 |tot 0.634626 | hm 0.252748 | wh 0.390258 | reg 0.126163 | ltrb_amodal 0.245680 | tracking 0.192121 | time 0.266667 | 
2025-07-31-14-38: epoch: 82 |tot 0.626566 | hm 0.248791 | wh 0.392479 | reg 0.123348 | ltrb_amodal 0.244734 | tracking 0.190706 | time 0.266667 | 
2025-07-31-14-38: epoch: 83 |tot 0.668342 | hm 0.255558 | wh 0.395097 | reg 0.126621 | ltrb_amodal 0.248205 | tracking 0.221832 | time 0.266667 | 
2025-07-31-14-38: epoch: 84 |tot 0.622553 | hm 0.249098 | wh 0.388434 | reg 0.123156 | ltrb_amodal 0.243379 | tracking 0.187117 | time 0.266667 | 
2025-07-31-14-38: epoch: 85 |tot 0.644297 | hm 0.246412 | wh 0.394410 | reg 0.125782 | ltrb_amodal 0.246483 | tracking 0.208015 | time 0.266667 | 
2025-07-31-14-39: epoch: 86 |tot 0.633797 | hm 0.244526 | wh 0.389143 | reg 0.125315 | ltrb_amodal 0.243704 | tracking 0.200672 | time 0.266667 | 
2025-07-31-14-39: epoch: 87 |tot 0.621186 | hm 0.243938 | wh 0.389791 | reg 0.124363 | ltrb_amodal 0.244713 | tracking 0.189434 | time 0.266667 | 
2025-07-31-14-39: epoch: 88 |tot 0.619813 | hm 0.240756 | wh 0.390392 | reg 0.122861 | ltrb_amodal 0.244242 | tracking 0.192733 | time 0.266667 | 
2025-07-31-14-40: epoch: 89 |tot 0.627181 | hm 0.244342 | wh 0.389919 | reg 0.123358 | ltrb_amodal 0.244700 | tracking 0.196019 | time 0.266667 | 
2025-07-31-14-40: epoch: 90 |tot 0.628040 | hm 0.246663 | wh 0.385995 | reg 0.125686 | ltrb_amodal 0.244277 | tracking 0.192664 | time 0.266667 | 
